"","Day","Hour","Temp","KWH"
"541","12/23/2014",12,44.96,"Above_Normal"
"542","12/23/2014",13,44.72,"Above_Normal"
"543","12/23/2014",14,44.96,"Above_Normal"
"544","12/23/2014",15,44.96,"Above_Normal"
"545","12/23/2014",16,45.68,"Above_Normal"
"546","12/23/2014",17,46.04,"Above_Normal"
"547","12/23/2014",18,46.04,"Above_Normal"
"548","12/23/2014",19,46.04,"Above_Normal"
"549","12/23/2014",20,46.04,"Above_Normal"
"550","12/23/2014",21,42.98,"Above_Normal"
"551","12/23/2014",22,42.98,"Above_Normal"
"552","12/23/2014",23,42.08,"Above_Normal"
"553","12/24/2014",0,42.08,"Optimal"
"554","12/24/2014",1,42.08,"Optimal"
"555","12/24/2014",2,42.08,"Optimal"
"556","12/24/2014",3,42.08,"Optimal"
"557","12/24/2014",4,41,"Optimal"
"558","12/24/2014",5,41,"Optimal"
"559","12/24/2014",6,41,"Optimal"
"560","12/24/2014",7,42.08,"Optimal"
"561","12/24/2014",8,42.08,"Optimal"
"562","12/24/2014",9,42.98,"Optimal"
"563","12/24/2014",10,44.96,"Optimal"
"564","12/24/2014",11,44.96,"Above_Normal"
"565","12/24/2014",12,44.96,"Above_Normal"
"566","12/24/2014",13,44.96,"Above_Normal"
"567","12/24/2014",14,44.96,"Above_Normal"
"568","12/24/2014",15,44.96,"Above_Normal"
"569","12/24/2014",16,46.04,"Above_Normal"
"570","12/24/2014",17,44.78,"Above_Normal"
"571","12/24/2014",18,46.22,"Above_Normal"
"572","12/24/2014",19,46.04,"Above_Normal"
"573","12/24/2014",20,44.78,"Above_Normal"
"574","12/24/2014",21,44.78,"Above_Normal"
"575","12/24/2014",22,46.04,"Above_Normal"
"576","12/24/2014",23,44.96,"Above_Normal"
"577","12/25/2014",0,44.78,"Optimal"
"578","12/25/2014",1,44.72,"Optimal"
"579","12/25/2014",2,46.94,"Optimal"
"580","12/25/2014",3,57.92,"Optimal"
